70,LSZ00,LSZ,LHZ,00,IU,-15.28,28.19,1184.8,67.88365221,70
71,LSZ10,LSZ,LHZ,10,IU,-15.28,28.19,1184.8,67.88365221,71
72,LVC00,LVC,LHZ,00,IU,-22.61,-68.91,2960,154.5608992,72
73,LVC10,LVC,LHZ,10,IU,-22.61,-68.91,2960,154.5608992,73
74,LVZ,LVZ,LHZ,00,II,67.9,34.65,630,76.1124415,74
75,MA2,MA2,LHZ,00,IU,59.58,150.77,339,71.00289789,75
76,MAJO,MAJO,LHZ,00,IU,36.54,138.21,405.9,52.43232769,76
77,MBAR,MBAR,LHZ,00,II,-0.6,30.74,1390,63.60109479,77
78,MBO,MBO,LHZ,00,G,14.39,-16.95,3,109.670036,78
79,MBWA,MBWA,LHZ,10,IU,-21.16,119.73,194,34.78932449,79
80,MIDW,MIDW,LHZ,00,IU,28.22,-177.37,-75.6,87.10476292,80
81,MPG,MPG,LHZ,00,G,38.16,13.36,600,80.93929405,81
82,MSEY,MSEY,LHZ,00,II,-4.67,55.48,475,39.51717188,82
83,NNA,NNA,LHZ,00,II,-11.99,-76.84,575,167.4778986,83
84,NWAO,NWAO,LHZ,00,IU,-32.93,117.23,265,42.06692326,84
85,OBN,OBN,LHZ,00,II,55.11,36.57,,69.54520793,85
86,PAB,PAB,LHZ,00,IU,39.55,-4.35,938,94.64210336,86
87,PAF,PAF,LHZ,00,G,-49.35,70.21,17,56.41794393,87
88,PAYG00,PAYG,LHZ,00,IU,-0.67,-90.29,195.7,174.8545091,88
89,PAYG10,PAYG,LHZ,10,IU,-0.67,-90.29,195.7,174.8545091,89
90,PET,PET,LHZ,00,IU,53.02,158.65,68,72.38357475,90
91,PFO00,PFO,LHZ,00,II,33.61,-116.46,1259,133.2409261,91
92,PFO10,PFO,LHZ,10,II,33.61,-116.46,1259,133.2409261,92
93,PMSA,PMSA,LHZ,00,IU,-64.77,-64.05,10,116.3719657,93
94,POHA,POHA,LHZ,10,IU,19.76,-155.53,1967,107.841941,94
95,PPT,PPT,LHZ,*,G,-17.57,-149.58,258,115.8510421,95
96,QSPA00,QSPA,LHZ,00,IU,-89.93,145,2657,93.04436441,96
97,QSPA10,QSPA,LHZ,10,IU,-89.93,145,2657,93.04436441,97
98,QSPA20,QSPA,LHZ,20,IU,-89.93,145,2657,93.04436441,98
99,QSPA30,QSPA,LHZ,30,IU,-89.93,145,2657,93.04436441,99
100,RAO,RAO,LHZ,10,IU,-29.25,-177.92,110,89.61213987,100
101,RAR00,RAR,LHZ,00,IU,-21.21,-159.77,28,105.9963822,101
102,RAR10,RAR,LHZ,10,IU,-21.21,-159.77,28,105.9963822,102
103,RAYN,RAYN,LHZ,00,II,23.52,45.5,631,51.30977991,103
104,RCBR00,RCBR,LHZ,00,IU,-5.83,-35.9,420,130.2519628,104
105,RCBR10,RCBR,LHZ,10,IU,-5.83,-35.9,420,130.2519628,105
106,RER,RER,LHZ,00,G,-21.16,55.75,834,44.83123411,106
107,RPN00,RPN,LHZ,00,II,-27.13,-109.33,110,147.0339366,107
108,RPN10,RPN,LHZ,10,II,-27.13,-109.33,110,147.0339366,108
109,SBA,SBA,LHZ,00,IU,-77.85,166.76,38,89.39761616,109
110,SCZ,SCZ,LHZ,*,G,36.6,-121.4,261,128.2568687,110
111,SFJ,SFJ,LHZ,00,IU,67,-50.62,365.5,105.6368882,111
112,SJG,SJG,LHZ,00,IU,18.11,-66.15,45,151.3275828,112
113,SNZO00,SNZO,LHZ,00,IU,-41.31,174.71,-10,84.8985088,113
114,SNZO10,SNZO,LHZ,10,IU,-41.31,174.71,-10,84.8985088,114
115,SSB,SSB,LHZ,00,G,45.28,4.54,700,87.60687866,115
